File,Time_Sec,GPU_Util,RAM_Usage_MB,Power_W,Net_Sent_Bytes,Net_Recv_Bytes,CPU_Core_0,CPU_Core_1,CPU_Core_2,CPU_Core_3,CPU_Total_Avg
EC_0179-5354-04-04-PSJ-F-04-A.wav,1.1288599270046689,43,12048,0,253192,4530,11.1,34.6,27.4,9.3,20.599999999999998
EC_0179-5355-04-04-PSJ-F-04-A.wav,0.06509909199667163,99,12048,0,194991,2028,17.5,18.4,20.2,7.8,15.974999999999998
EC_0179-5355-04-04-PSJ-F-04-A.wav,1.1398160430253483,95,12048,0,143688,2964,8.3,8.4,34.6,6.5,14.450000000000001
EC_0179-5355-04-04-PSJ-F-04-A.wav,2.164107051008614,0,12048,0,2675,1218,8.0,33.7,31.2,1.0,18.475
EC_0179-5356-04-04-PSJ-F-04-A.wav,0.06145063799340278,99,12048,0,88975,1300,17.8,20.1,20.5,13.0,17.85
EC_0179-5356-04-04-PSJ-F-04-A.wav,1.1335149639926385,98,12048,0,203558,2184,7.5,7.4,35.8,8.4,14.774999999999999
EC_0179-5356-04-04-PSJ-F-04-A.wav,2.160621323972009,0,12048,0,2738,1163,6.9,11.8,28.4,3.8,12.725
EC_0179-5357-04-04-PSJ-F-04-A.wav,0.06261210900265723,99,12048,0,86199,1144,17.0,18.0,21.6,12.0,17.15
EC_0179-5357-04-04-PSJ-F-04-A.wav,1.1340874430024996,0,12047,0,151062,3436,12.0,35.8,44.9,5.7,24.599999999999998
EC_0179-5358-04-04-PSJ-F-04-A.wav,0.06159211799968034,99,12048,0,88975,1300,10.6,14.8,24.4,11.0,15.2
EC_0179-5358-04-04-PSJ-F-04-A.wav,1.1327096080058254,28,12048,0,130912,4626,11.3,35.2,43.9,8.2,24.650000000000002
EC_0179-5359-04-04-PSJ-F-04-A.wav,0.0584469550231006,99,12047,0,30283,728,9.1,19.7,29.0,14.2,18.0
EC_0179-5359-04-04-PSJ-F-04-A.wav,1.127948709006887,93,12047,0,293843,4397,34.6,9.3,37.0,6.5,21.85
EC_0179-5360-04-04-PSJ-F-04-A.wav,0.06413519999478012,99,12048,0,81893,1040,17.1,16.5,30.4,15.6,19.9
EC_0179-5360-04-04-PSJ-F-04-A.wav,1.1334197579999454,99,12048,0,166942,3370,39.0,32.4,8.5,11.2,22.775000000000002
EC_0179-5360-04-04-PSJ-F-04-A.wav,2.157863669010112,0,12048,0,0,0,3.9,40.8,17.2,15.0,19.224999999999998
EC_0179-5361-04-04-PSJ-F-04-A.wav,0.05983039000420831,99,12048,0,86199,1144,13.7,18.4,20.3,13.5,16.474999999999998
EC_0179-5361-04-04-PSJ-F-04-A.wav,1.1289581710007042,0,12048,0,162712,4006,10.4,36.4,6.7,19.4,18.225
EC_0179-5362-04-04-PSJ-F-04-A.wav,0.06206366399419494,99,12048,0,88975,1248,18.8,18.2,18.6,16.8,18.1
EC_0179-5362-04-04-PSJ-F-04-A.wav,1.1315754980023485,95,12048,0,148290,3961,42.5,7.5,36.4,6.5,23.225
EC_0179-5362-04-04-PSJ-F-04-A.wav,2.1575732520141173,0,12048,0,0,0,22.5,20.2,26.0,13.7,20.6
EC_0179-5363-04-04-PSJ-F-04-A.wav,0.06585574202472344,99,12047,0,197691,1924,17.9,14.0,20.9,14.4,16.8
EC_0179-5363-04-04-PSJ-F-04-A.wav,1.1340956340136472,92,12047,0,62773,3812,46.7,9.3,33.0,7.5,24.125
EC_0179-5364-04-04-PSJ-F-04-A.wav,0.061925223999423906,99,12048,0,44295,1040,23.4,17.5,19.6,14.5,18.75
EC_0179-5364-04-04-PSJ-F-04-A.wav,1.1442376890045125,99,12048,0,265408,3068,11.3,9.2,37.0,8.3,16.45
